branchname,"""COLLECTION CODE""",TOTAL ITEMS,ADULT ITEMS,YOUNG ADULT ITEMS,JUVENILE ITEMS,TOTAL ADDED LM,ADULT ADDED LM,YOUNG ADULT ADDED LM,JUVENILE ADDED LM,TOTAL DELETED LM,ADULT DELETED LM,YOUNG ADULT DELETED LM,JUVENILE DELETED LM
Basehor Community Library,Western,584,583,1,,11,11,,,,,,
Bern Community Library,(Unclassified),2,2,,,,,,,,,,
Bern Community Library,Action & Adventure,,,,,,,,,,,,
Bern Community Library,Adult literacy,,,,,,,,,,,,
Bern Community Library,African American history and literature,,,,,,,,,,,,
Bern Community Library,Archival materials,,,,,,,,,,,,
Bern Community Library,Atlas,,,,,,,,,,,,
Bern Community Library,Audiobook (cassette),290,288,,2,,,,,,,,
Bern Community Library,Audiobook (CD),219,205,1,13,,,,,,,,
Bern Community Library,Audiobook (downloadable),,,,,,,,,,,,
Bern Community Library,Audiobook (media player),2,,1,1,,,,,,,,
Bern Community Library,Audio-visual equipment,,,,,,,,,,,,
Bern Community Library,Bakeware,,,,,,,,,,,,
Bern Community Library,Battle of the books,,,,,,,,,,,,
Bern Community Library,Bicycle,,,,,,,,,,,,
Bern Community Library,Bilingual,,,,,,,,,,,,
Bern Community Library,Binder,,,,,,,,,,,,
Bern Community Library,Biography,344,338,,6,,,,,,,,
Bern Community Library,Blu-ray player,,,,,,,,,,,,
Bern Community Library,Board Book,28,,,28,,,,,,,,
Bern Community Library,Chapter Books,,,,,,,,,,,,
Bern Community Library,Classics,,,,,,,,,,,,
Bern Community Library,Contemporary Issues,,,,,,,,,,,,
Bern Community Library,Downloadable Book,,,,,,,,,,,,
Bern Community Library,Downloadable Graphic Novel,,,,,,,,,,,,
Bern Community Library,Downloadable Magazine,,,,,,,,,,,,
Bern Community Library,Downloadable Movie,,,,,,,,,,,,
Bern Community Library,Downloadable Music,,,,,,,,,,,,
Bern Community Library,Downloadable TV Show,,,,,,,,,,,,
Bern Community Library,Easy Reader,600,4,1,595,,,,,,,,
Bern Community Library,Education,,,,,,,,,,,,
Bern Community Library,Fiction,3098,823,501,1774,,,,,,,,
Bern Community Library,Gadget,,,,,,,,,,,,
Bern Community Library,Genealogy,1,1,,,,,,,,,,
Bern Community Library,Graphic Novel,5,,,5,,,,,,,,
Bern Community Library,Historical ,,,,,,,,,,,,
Bern Community Library,Holiday,2,1,,1,,,,,,,,
Bern Community Library,Holiday video,,,,,,,,,,,,
Bern Community Library,Inspirational,928,927,,1,,,,,,,,
Bern Community Library,Interlibrary Loan,,,,,,,,,,,,
Bern Community Library,Kansas,136,136,,,,,,,,,,
Bern Community Library,Kansas notable books,,,,,,,,,,,,
Bern Community Library,Large Print,573,572,,1,7,7,,,,,,
Bern Community Library,Large Print Non-Fiction,4,4,,,,,,,,,,
Bern Community Library,LGBTQ+,,,,,,,,,,,,
Bern Community Library,Lynda.com course,,,,,,,,,,,,
Bern Community Library,Magazine,,,,,,,,,,,,
Bern Community Library,Map,,,,,,,,,,,,
Bern Community Library,McNaughton Fiction,,,,,,,,,,,,
Bern Community Library,McNaughton Non-fiction,,,,,,,,,,,,
Bern Community Library,Miscellaneous,,,,,,,,,,,,
Bern Community Library,Music : compact disc,299,299,,,,,,,,,,
Bern Community Library,Music : record,,,,,,,,,,,,
Bern Community Library,Musical instrument : brass instruments,,,,,,,,,,,,
Bern Community Library,Musical instrument : drums and percussion,,,,,,,,,,,,
Bern Community Library,Musical instrument : misceleaneous,,,,,,,,,,,,
Bern Community Library,Musical instrument : stringed instruments,,,,,,,,,,,,
Bern Community Library,Musical instrument : woodwind instruments,,,,,,,,,,,,
Bern Community Library,Mystery,604,601,,3,,,,,,,,
Bern Community Library,Mystery-Cozy,116,116,,,,,,,,,,
Bern Community Library,Non-Fiction,2368,1679,3,686,5,,,5,,,,
Bern Community Library,On Display,,,,,,,,,,,,
Bern Community Library,Online Resource,,,,,,,,,,,,
Bern Community Library,Oversize,,,,,,,,,,,,
Bern Community Library,Paperback,7,7,,,,,,,,,,
Bern Community Library,Parenting,,,,,,,,,,,,
Bern Community Library,Periodical - Comic books,,,,,,,,,,,,
Bern Community Library,Picture Book,1206,,,1206,,,,,1,,,
Bern Community Library,Professional Collection,,,,,,,,,,,,
Bern Community Library,Public Computer,,,,,,,,,,,,
