added,ccode,homebranch,location
3,BOOKONCD,OTTAWA,YOUNGADULT
8,DVD,OTTAWA,ADULT
9,DVD,OTTAWA,CHILDRENS
1,EASY,OTTAWA,CHILDRENS
2,FICTION,OTTAWA,ADULT
2,FICTION,OTTAWA,CHILDRENS
1,KANSAS,OTTAWA,ADULT
22,LARGEPRINT,OTTAWA,ADULT
7,MUSIC,OTTAWA,ADULT
174,NEW,OTTAWA,ADULT
190,NEW,OTTAWA,CHILDRENS
15,NEW,OTTAWA,YOUNGADULT
16,NONFICTION,OTTAWA,ADULT
1,,OVERBROOK,
13,BOARDBK,OVERBROOK,CHILDRENS
3,BOOKONCD,OVERBROOK,ADULT
1,DISPLAY,OVERBROOK,CHILDRENS
1,DVD,OVERBROOK,
26,DVD,OVERBROOK,ADULT
23,DVD,OVERBROOK,CHILDRENS
5,EASY,OVERBROOK,CHILDRENS
25,FICTION,OVERBROOK,ADULT
30,FICTION,OVERBROOK,CHILDRENS
10,FICTION,OVERBROOK,YOUNGADULT
2,HOLIDAY,OVERBROOK,CHILDRENS
1,LARGEPRINT,OVERBROOK,ADULT
3,MYSTERY,OVERBROOK,ADULT
10,NONFICTION,OVERBROOK,ADULT
10,NONFICTION,OVERBROOK,CHILDRENS
13,READER,OVERBROOK,CHILDRENS
1,BOARDBK,ROSSVILLE,CHILDRENS
5,BOOKONCD,ROSSVILLE,ADULT
65,DVD,ROSSVILLE,ADULT
11,DVD,ROSSVILLE,CHILDRENS
15,EASY,ROSSVILLE,CHILDRENS
35,FICTION,ROSSVILLE,ADULT
3,FICTION,ROSSVILLE,CHILDRENS
5,FICTION,ROSSVILLE,YOUNGADULT
1,GRAPHIC,ROSSVILLE,YOUNGADULT
24,INSPRATION,ROSSVILLE,ADULT
4,KANSAS,ROSSVILLE,ADULT
4,LARGEPRINT,ROSSVILLE,ADULT
19,NONFICTION,ROSSVILLE,ADULT
3,NONFICTION,ROSSVILLE,CHILDRENS
26,PAPERBACK,ROSSVILLE,ADULT
4,READER,ROSSVILLE,CHILDRENS
7,BOARDBK,SABETHA,CHILDRENS
1,BOOKONCASS,SABETHA,ADULT
1,BOOKONCASS,SABETHA,CHILDRENS
9,BOOKONCD,SABETHA,ADULT
4,BOOKONCD,SABETHA,CHILDRENS
1,BOOKONCD,SABETHA,YOUNGADULT
11,DVD,SABETHA,ADULT
7,DVD,SABETHA,CHILDRENS
1,DVD,SABETHA,YOUNGADULT
1,EASY,SABETHA,CHILDRENS
9,EDUCATION,SABETHA,CHILDRENS
2,EDUCATION,SABETHA,YOUNGADULT
9,FICTION,SABETHA,ADULT
14,FICTION,SABETHA,YOUNGADULT
7,INSPRATION,SABETHA,ADULT
1,MAGAZINE,SABETHA,
41,MAGAZINE,SABETHA,ADULT
6,MYSTERY,SABETHA,ADULT
21,NONFICTION,SABETHA,ADULT
4,NONFICTION,SABETHA,CHILDRENS
3,ON-ORDER,SABETHA,ADULT
3,PAPERBACK,SABETHA,ADULT
6,ROMANCE,SABETHA,ADULT
2,WESTERN,SABETHA,ADULT
24,BOOKONCD,SENECA,ADULT
1,BOOKONCD,SENECA,CHILDRENS
8,DVD,SENECA,ADULT
3,DVD,SENECA,CHILDRENS
1,DVD,SENECA,YOUNGADULT
27,FICTION,SENECA,ADULT
