CHECK_OUT_LIBRARY,COLLECTION_CODE,CKO_RENW_ALL,CKO_RENEW_ADULT,CKO_RENEW_YA,CKO_RENEW_CHILDRENS,CKO_RENEW_OTHER
"Bern Community Library","Lynda.com course",0,0,0,0,0
"Bern Community Library",Magazine,0,0,0,0,0
"Bern Community Library",Map,0,0,0,0,0
"Bern Community Library","McNaughton Fiction",0,0,0,0,0
"Bern Community Library","McNaughton Non-fiction",0,0,0,0,0
"Bern Community Library",Miscellaneous,0,0,0,0,0
"Bern Community Library","Music CD",0,0,0,0,0
"Bern Community Library",Mystery,6,6,0,0,0
"Bern Community Library",Mystery-Cozy,0,0,0,0,0
"Bern Community Library",Non-Fiction,3,1,0,2,0
"Bern Community Library","On Display",0,0,0,0,0
"Bern Community Library","Online Resource",0,0,0,0,0
"Bern Community Library",Oversize,0,0,0,0,0
"Bern Community Library",Paperback,0,0,0,0,0
"Bern Community Library",Parenting,0,0,0,0,0
"Bern Community Library","Periodical - Comic books",0,0,0,0,0
"Bern Community Library","Picture Book",26,0,0,26,0
"Bern Community Library","Professional Collection",0,0,0,0,0
"Bern Community Library","Public Computer",0,0,0,0,0
"Bern Community Library","Puzzles & Board Games",0,0,0,0,0
"Bern Community Library","Read and listen - easy reader",0,0,0,0,0
"Bern Community Library","Read and listen - fiction",0,0,0,0,0
"Bern Community Library","Read and listen - non-fiction",0,0,0,0,0
"Bern Community Library","Read and listen - picture book",0,0,0,0,0
"Bern Community Library","Recreation : athletic / sports equipment",0,0,0,0,0
"Bern Community Library","Recreation : basketball equipment",0,0,0,0,0
"Bern Community Library","Recreation : fishing equipment",0,0,0,0,0
"Bern Community Library","Recreation : football equipment",0,0,0,0,0
"Bern Community Library","Recreation : softball / baseball equipment",0,0,0,0,0
"Bern Community Library","Recreation : tennis equipment",0,0,0,0,0
"Bern Community Library",Reference,0,0,0,0,0
"Bern Community Library",Romance,0,0,0,0,0
"Bern Community Library","Sci Fi-Fantasy",0,0,0,0,0
"Bern Community Library",Software,0,0,0,0,0
"Bern Community Library",Spanish,0,0,0,0,0
"Bern Community Library","Special collection - Dyslexic and Autistic Reading Engagement",0,0,0,0,0
"Bern Community Library","Sports & Recreation",0,0,0,0,0
"Bern Community Library",VG--Videogame,0,0,0,0,0
"Bern Community Library",VG-Gameboy,0,0,0,0,0
"Bern Community Library","VG-Nintendo 3DS",0,0,0,0,0
"Bern Community Library","VG-Nintendo DS",0,0,0,0,0
"Bern Community Library","VG-Nintendo Gamecube",0,0,0,0,0
"Bern Community Library","VG-Nintendo Switch",0,0,0,0,0
"Bern Community Library","VG-Nintendo Wii",0,0,0,0,0
