branchname,"""COLLECTION CODE""","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Basehor Community Library","Downloadable Magazine",,,,,,,,,,,,
"Basehor Community Library","Downloadable Movie",,,,,,,,,,,,
"Basehor Community Library","Downloadable Music",,,,,,,,,,,,
"Basehor Community Library","Downloadable TV Show",,,,,,,,,,,,
"Basehor Community Library","Easy Reader",1386,,1,1385,,,,,,,,
"Basehor Community Library",Education,,,,,,,,,,,,
"Basehor Community Library",Fiction,23367,12589,5466,5312,120,85,28,7,11,,,
"Basehor Community Library",Gadget,10,8,2,,,,,,,,,
"Basehor Community Library",Genealogy,,,,,,,,,,,,
"Basehor Community Library","Graphic Novel",5001,137,4046,818,36,,34,2,2,,,
"Basehor Community Library","Historical ",,,,,,,,,,,,
"Basehor Community Library",Holiday,,,,,,,,,,,,
"Basehor Community Library","Holiday video",,,,,,,,,,,,
"Basehor Community Library",Inspirational,1,,,1,,,,,,,,
"Basehor Community Library","Interlibrary Loan",1,,1,,,,,,,,,
"Basehor Community Library",Kansas,,,,,,,,,,,,
"Basehor Community Library","Kansas notable books",,,,,,,,,,,,
"Basehor Community Library","Large Print",2956,2955,,1,25,25,,,1,,,
"Basehor Community Library","Large Print Non-Fiction",23,22,,1,,,,,,,,
"Basehor Community Library",LGBTQ+,,,,,,,,,,,,
"Basehor Community Library","Lynda.com course",,,,,,,,,,,,
"Basehor Community Library",Magazine,834,625,51,158,42,35,,7,,,,
"Basehor Community Library",Map,,,,,,,,,,,,
"Basehor Community Library","McNaughton Fiction",,,,,,,,,,,,
"Basehor Community Library","McNaughton Non-fiction",1,,,1,,,,,,,,
"Basehor Community Library",Miscellaneous,15,2,,13,,,,,,,,
"Basehor Community Library","Music : compact disc",104,1,,103,,,,,,,,
"Basehor Community Library","Music : record",,,,,,,,,,,,
"Basehor Community Library",Mystery,,,,,,,,,,,,
"Basehor Community Library",Mystery-Cozy,,,,,,,,,,,,
"Basehor Community Library",Non-Fiction,11533,6934,364,4235,71,47,3,21,2,,,
"Basehor Community Library","On Display",,,,,,,,,,,,
"Basehor Community Library","Online Resource",,,,,,,,,,,,
"Basehor Community Library",Oversize,,,,,,,,,,,,
"Basehor Community Library",Paperback,,,,,,,,,,,,
"Basehor Community Library",Parenting,,,,,,,,,,,,
"Basehor Community Library","Periodical - Comic books",,,,,,,,,,,,
"Basehor Community Library","Picture Book",6576,,3,6573,,,,,,,,
"Basehor Community Library","Professional Collection",1,1,,,,,,,,,,
"Basehor Community Library","Public Computer",1,1,,,,,,,,,,
"Basehor Community Library","Puzzles & Board Games",30,30,,,,,,,,,,
"Basehor Community Library","Read and listen - easy reader",,,,,,,,,,,,
"Basehor Community Library","Read and listen - fiction",3,,,3,,,,,,,,
"Basehor Community Library","Read and listen - non-fiction",2,,,2,,,,,,,,
"Basehor Community Library","Read and listen - picture book",88,,,88,,,,,,,,
"Basehor Community Library","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Basehor Community Library","Recreation : basketball equipment",,,,,,,,,,,,
"Basehor Community Library","Recreation : fishing equipment",,,,,,,,,,,,
"Basehor Community Library","Recreation : football equipment",,,,,,,,,,,,
"Basehor Community Library","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Basehor Community Library","Recreation : tennis equipment",,,,,,,,,,,,
"Basehor Community Library",Reference,,,,,,,,,,,,
"Basehor Community Library",Romance,,,,,,,,,,,,
"Basehor Community Library","Sci Fi-Fantasy",,,,,,,,,,,,
"Basehor Community Library",Software,,,,,,,,,,,,
"Basehor Community Library",Spanish,,,,,,,,,,,,
"Basehor Community Library","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Basehor Community Library","Sports & Recreation",,,,,,,,,,,,
"Basehor Community Library",VG--Videogame,1,,1,,,,,,,,,
"Basehor Community Library",VG-Gameboy,,,,,,,,,,,,
"Basehor Community Library","VG-Nintendo 3DS",,,,,,,,,,,,
"Basehor Community Library","VG-Nintendo DS",,,,,,,,,,,,
"Basehor Community Library","VG-Nintendo Gamecube",,,,,,,,,,,,
"Basehor Community Library","VG-Nintendo Switch",101,2,28,71,1,1,,,2,,,
"Basehor Community Library","VG-Nintendo Wii",107,,13,94,,,,,,,,
"Basehor Community Library","VG-Nintendo Wii U",14,,5,9,,,,,,,,
"Basehor Community Library","VG-PlayStation 2 (PS2)",,,,,,,,,,,,
"Basehor Community Library","VG-PlayStation 3 (PS3)",5,1,3,1,,,,,,,,
"Basehor Community Library","VG-PlayStation 4 (PS4)",43,4,27,12,1,,1,,,,,
"Basehor Community Library","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Basehor Community Library","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Basehor Community Library",VG-XBox,,,,,,,,,,,,
"Basehor Community Library","VG-XBox 360",31,,22,9,,,,,,,,
"Basehor Community Library","VG-XBox One",27,,20,7,1,,1,,,,,
"Basehor Community Library","VG-XBox X",,,,,,,,,,,,
"Basehor Community Library","Video (Blu-ray)",309,308,1,,5,5,,,,,,
"Basehor Community Library","Video (Blu-ray/DVD combined edition)",161,140,13,8,,,,,,,,
"Basehor Community Library","Video (DVD)",6361,5412,18,931,20,16,1,3,,,,
"Basehor Community Library","Video (media player)",,,,,,,,,,,,
"Basehor Community Library","Video (VHS cassette)",,,,,,,,,,,,
"Basehor Community Library","Video-TV series (Blu-ray)",20,16,4,,1,1,,,,,,
"Basehor Community Library","Video-TV series (Blu-ray/DVD combined edition)",9,3,6,,,,,,,,,
"Basehor Community Library","Video-TV series (DVD)",1228,1202,12,14,3,3,,,,,,
"Basehor Community Library","Video-TV series (media player)",,,,,,,,,,,,
"Basehor Community Library",Western,580,579,1,,8,8,,,,,,
"Bern Community Library",(Unclassified),2,2,,,,,,,,,,
"Bern Community Library","Action & Adventure",,,,,,,,,,,,
"Bern Community Library","Adult literacy",,,,,,,,,,,,
"Bern Community Library","African American history and literature",,,,,,,,,,,,
"Bern Community Library","Archival materials",,,,,,,,,,,,
"Bern Community Library",Atlas,,,,,,,,,,,,
"Bern Community Library","Audiobook (cassette)",291,289,,2,,,,,,,,
"Bern Community Library","Audiobook (CD)",219,206,1,12,,,,,,,,
"Bern Community Library","Audiobook (downloadable)",,,,,,,,,,,,
"Bern Community Library","Audiobook (media player)",2,,1,1,,,,,,,,
"Bern Community Library",Bakeware,,,,,,,,,,,,
"Bern Community Library","Battle of the books",,,,,,,,,,,,
"Bern Community Library",Bicycle,,,,,,,,,,,,
"Bern Community Library",Bilingual,,,,,,,,,,,,
"Bern Community Library",Binder,,,,,,,,,,,,
"Bern Community Library",Biography,343,338,,5,,,,,,,,
"Bern Community Library","Board Book",27,,,27,5,,,5,,,,
"Bern Community Library","Chapter Books",,,,,,,,,,,,
"Bern Community Library",Classics,,,,,,,,,,,,
"Bern Community Library","Contemporary Issues",,,,,,,,,,,,
"Bern Community Library","Downloadable Book",,,,,,,,,,,,
"Bern Community Library","Downloadable Graphic Novel",,,,,,,,,,,,
"Bern Community Library","Downloadable Magazine",,,,,,,,,,,,
"Bern Community Library","Downloadable Movie",,,,,,,,,,,,
"Bern Community Library","Downloadable Music",,,,,,,,,,,,
"Bern Community Library","Downloadable TV Show",,,,,,,,,,,,
"Bern Community Library","Easy Reader",582,4,1,577,,,,,2,,,
"Bern Community Library",Education,,,,,,,,,,,,
"Bern Community Library",Fiction,3089,827,495,1767,3,3,,,,,,
"Bern Community Library",Gadget,,,,,,,,,,,,
"Bern Community Library",Genealogy,1,1,,,,,,,,,,
"Bern Community Library","Graphic Novel",5,,,5,,,,,,,,
"Bern Community Library","Historical ",,,,,,,,,,,,
"Bern Community Library",Holiday,2,1,,1,,,,,,,,
"Bern Community Library","Holiday video",,,,,,,,,,,,
"Bern Community Library",Inspirational,919,918,,1,6,6,,,,,,
"Bern Community Library","Interlibrary Loan",,,,,,,,,,,,
"Bern Community Library",Kansas,136,136,,,,,,,,,,
"Bern Community Library","Kansas notable books",,,,,,,,,,,,
"Bern Community Library","Large Print",550,549,,1,6,6,,,,,,
"Bern Community Library","Large Print Non-Fiction",4,4,,,,,,,,,,
"Bern Community Library",LGBTQ+,,,,,,,,,,,,
"Bern Community Library","Lynda.com course",,,,,,,,,,,,
"Bern Community Library",Magazine,,,,,,,,,,,,
"Bern Community Library",Map,,,,,,,,,,,,
"Bern Community Library","McNaughton Fiction",,,,,,,,,,,,
"Bern Community Library","McNaughton Non-fiction",,,,,,,,,,,,
"Bern Community Library",Miscellaneous,,,,,,,,,,,,
"Bern Community Library","Music : compact disc",299,299,,,,,,,,,,
"Bern Community Library","Music : record",,,,,,,,,,,,
"Bern Community Library",Mystery,606,603,,3,,,,,,,,
"Bern Community Library",Mystery-Cozy,106,106,,,,,,,,,,
"Bern Community Library",Non-Fiction,2362,1678,3,681,3,3,,,3,,,
"Bern Community Library","On Display",,,,,,,,,,,,
"Bern Community Library","Online Resource",,,,,,,,,,,,
"Bern Community Library",Oversize,,,,,,,,,,,,
"Bern Community Library",Paperback,7,7,,,,,,,,,,
"Bern Community Library",Parenting,,,,,,,,,,,,
"Bern Community Library","Periodical - Comic books",,,,,,,,,,,,
"Bern Community Library","Picture Book",1209,,,1209,,,,,,,,
"Bern Community Library","Professional Collection",,,,,,,,,,,,
"Bern Community Library","Public Computer",,,,,,,,,,,,
"Bern Community Library","Puzzles & Board Games",,,,,,,,,,,,
"Bern Community Library","Read and listen - easy reader",,,,,,,,,,,,
"Bern Community Library","Read and listen - fiction",,,,,,,,,,,,
"Bern Community Library","Read and listen - non-fiction",,,,,,,,,,,,
"Bern Community Library","Read and listen - picture book",,,,,,,,,,,,
"Bern Community Library","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Bern Community Library","Recreation : basketball equipment",,,,,,,,,,,,
"Bern Community Library","Recreation : fishing equipment",,,,,,,,,,,,
"Bern Community Library","Recreation : football equipment",,,,,,,,,,,,
"Bern Community Library","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Bern Community Library","Recreation : tennis equipment",,,,,,,,,,,,
"Bern Community Library",Reference,,,,,,,,,,,,
"Bern Community Library",Romance,199,199,,,,,,,,,,
"Bern Community Library","Sci Fi-Fantasy",62,61,1,,,,,,,,,
"Bern Community Library",Software,,,,,,,,,,,,
"Bern Community Library",Spanish,,,,,,,,,,,,
"Bern Community Library","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Bern Community Library","Sports & Recreation",,,,,,,,,,,,
"Bern Community Library",VG--Videogame,,,,,,,,,,,,
